No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
12947,Azimabad Express (PT...,2,WR,3,0,0,1,0,1,0,0,TDL,14:40,PNBE,14:45,2:57,0:05
25631,Bikaner - Guwahati E...,3,NFR,2,0,1,0,1,0,0,0,TDL,14:40,GHY,14:48,0:57,0:08
15635,Dwarka Express (PT),3,NFR,5,0,0,0,0,0,0,1,TDL,14:40,GHY,14:48,2:31,0:08
15631,Barmer - Guwahati Ex...,3,NFR,5,0,1,0,1,0,0,0,TDL,14:40,GHY,14:48,3:04,0:08
15667,Gandhidham - Kamakhy...,3,NFR,2,1,0,0,0,0,0,0,TDL,14:40,KYQ,14:48,3:51,0:08
14151,Kanpur - Anand Vihar...,3,NCR,2,1,0,0,0,0,0,0,TDL,15:05,ANVT,15:13,3:45,0:08
15269,Muzaffarpur - Ahmeda...,3,ECR,1,0,0,0,0,0,1,0,TDL,15:25,ADI,15:33,1:46,0:08
15045,Gorakhpur - Okha Exp...,3,NER,3,0,0,0,0,1,0,0,TDL,15:30,OKHA,15:38,1:32,0:08
19054,Muzaffarpur - Surat ...,3,WR,1,0,1,0,0,0,0,0,TDL,15:30,ST,15:38,1:45,0:08
12505,North East Express (...,2,NFR,1,1,1,1,1,1,1,1,TDL,15:53,ANVT,15:58,3:41,0:05
12420,Gomti Express,2,NR,3,1,1,1,1,1,1,1,TDL,16:08,LKO,16:13,0:13,0:05
12311,Kalka Mail (PT),2,ER,1,1,1,1,1,1,1,1,TDL,16:18,KLK,16:23,0:18,0:05
18101,Tatanagar-Jammu Tawi...,3,SER,2,1,1,1,1,1,1,1,TDL,16:38,JAT,16:46,3:05,0:08
18309,Sambalpur- Jammu Taw...,3,ECoR,1,1,1,1,1,1,1,1,TDL,16:38,JAT,16:46,3:36,0:08
9411,Ahmedabad - Patna A...,3,WR,2,0,0,1,0,0,0,0,TDL,16:50,PNBE,16:58,1:33,0:08
12941,Parasnath SF Express...,2,WR,2,0,0,0,1,0,0,0,TDL,16:55,ASN,17:00,0:20,0:05
12316,Ananya Express,2,ER,2,0,1,0,0,0,0,0,TDL,16:55,KOAA,17:00,3:41,0:05
22969,Okha - Varanasi SF E...,2,WR,2,0,0,0,0,0,1,0,TDL,16:55,BSB,17:00,2:04,0:05
12495,Pratap SF Express,2,NWR,5,0,0,0,0,1,0,0,TDL,16:55,KOAA,17:00,0:16,0:05
12937,Garba SF Express (PT...,2,WR,5,1,0,0,0,0,0,0,TDL,16:55,HWH,17:00,0:33,0:05
12487,Seemanchal Express,2,NR,2,1,1,1,1,1,1,1,TDL,17:10,ANVT,17:15,3:36,0:05
12496,Pratap Express (PT),2,NWR,2,0,0,0,0,0,0,1,TDL,17:10,BKN,17:15,3:53,0:05
12938,Garba SF Express (PT...,2,WR,2,0,0,1,0,0,0,0,TDL,17:10,GIMB,17:15,3:26,0:05
15632,Guwahati - Barmer Ex...,3,NFR,2,1,0,0,0,0,1,0,TDL,17:10,BME,17:18,4:00,0:08
15632,Guwahati - Bikaner L...,3,NFR,2,1,0,0,0,0,1,0,TDL,17:10,BKN,17:18,2:19,0:08
22487,Seemanchal Link Expr...,2,NR,2,1,1,1,1,1,1,1,TDL,17:10,ANVT,17:15,1:39,0:05
14314,Bareilly - Mumbai LT...,3,NR,4,0,0,0,0,0,0,1,TDL,17:30,LTT,17:38,2:57,0:08
15483,Sikkim Mahananda Exp...,3,NFR,2,1,1,1,1,1,1,1,TDL,17:45,DLI,17:53,2:58,0:08
12987,Sealdah - Ajmer SF E...,2,NWR,2,1,1,1,1,1,1,1,TDL,17:55,AII,18:00,0:44,0:05
64160,Agra Cantt - Etawah ...,4,NCR,3,1,1,1,1,1,1,1,TDL,17:55,ETW,17:57,2:25,0:02
12307,Howrah - Jodhpur SF ...,2,ER,1,1,1,1,1,1,1,1,TDL,19:00,JU,19:05,3:29,0:05
12307,Howrah - Bikaner SF ...,2,ER,1,1,1,1,1,1,1,1,TDL,19:00,BKN,19:05,1:11,0:05
18631,Ranchi - Ajmer Garib...,3,SER,2,0,0,0,0,0,1,0,TDL,19:10,AII,19:18,3:47,0:08
15708,Amrapali Express,3,NFR,3,1,1,1,1,1,1,1,TDL,19:13,KIR,19:21,2:29,0:08
12003,Lucknow Jn - New Del...,1,NR,2,1,1,1,1,1,1,1,TDL,19:22,NDLS,19:25,0:25,0:03
22406,Anand Vihar (T) - Bh...,2,NR,1,0,1,0,1,0,1,0,TDL,19:52,BGP,19:57,0:21,0:05
12304,Poorva Express (via ...,2,ER,3,1,0,0,1,1,0,1,TDL,20:20,HWH,20:25,1:59,0:05
12382,Poorva Express (via ...,2,ER,3,0,1,1,0,0,1,0,TDL,20:20,HWH,20:25,1:04,0:05
12988,Ajmer - Sealdah SF E...,2,NWR,4,1,1,1,1,1,1,1,TDL,20:30,SDAH,20:35,2:42,0:05
14006,Lichchavi Express (P...,3,NR,4,1,1,1,1,1,1,1,TDL,20:40,SMI,20:48,1:43,0:08
4111,Allahabad - Jammu Ta...,3,NCR,1,0,0,0,1,0,0,0,TDL,20:40,JAT,20:48,2:38,0:08
22431,Allahabad - Udhampur...,2,NCR,2,0,0,1,0,0,0,1,TDL,20:40,UHP,20:45,1:34,0:05
12179,Lucknow Jn. - Agra C...,2,NCR,2,1,1,1,1,1,1,1,TDL,20:50,AGC,20:55,0:22,0:05
54463,Bandikui - Rishikesh...,5,NR,1,1,1,1,1,1,1,1,TDL,21:50,RKSH,22:00,0:39,0:10
54465,Farrukhabad - Tundla...,5,NR,1,1,1,1,1,1,1,1,TDL,21:50,BE,22:00,1:03,0:10
54461,Bandikui - Bareilly ...,5,NR,1,1,1,1,1,1,1,1,TDL,21:50,BE,22:00,2:20,0:10
14854,Marudhar Express (vi...,3,NWR,2,0,1,0,0,1,0,1,TDL,21:55,BSB,22:03,1:05,0:08
14864,Marudhar Express (vi...,3,NWR,2,1,0,1,0,0,1,0,TDL,21:55,BSB,22:03,0:00,0:08
14866,Marudhar Express (Vi...,3,NWR,2,0,0,0,1,0,0,0,TDL,21:55,BSB,22:03,2:52,0:08
12404,Jaipur - Allahabad S...,2,NCR,3,1,1,1,1,1,1,1,TDL,23:00,ALD,23:05,1:02,0:05
14152,Anand Vihar Terminal...,3,NCR,3,1,0,0,0,0,0,0,TDL,23:07,CNB,23:15,3:02,0:08
15707,Amrapali Express (PT...,3,NFR,2,1,1,1,1,1,1,1,TDL,23:15,ASR,23:23,3:51,0:08
12554,Vaishali SF Express ...,2,ECR,3,1,1,1,1,1,1,1,TDL,23:15,BJU,23:20,3:35,0:05
12402,Magadh Express (PT),2,NWR,1,1,1,1,1,1,1,1,TDL,23:28,IPR,23:33,1:26,0:05
19037,Bandra Terminus - Go...,3,WR,5,0,1,0,1,1,0,1,TDL,23:35,GKP,23:43,0:20,0:08
19039,Bandra Terminus - Mu...,3,WR,3,1,0,1,0,0,1,0,TDL,23:35,MFP,23:43,0:19,0:08
15636,Dwarka Express (PT),3,NFR,2,0,0,1,0,0,0,0,TDL,23:40,OKHA,23:48,1:28,0:08
15668,Kamakhya - Gandhidha...,3,NFR,2,0,0,0,0,1,0,0,TDL,23:40,GIMB,23:48,3:10,0:08
