No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
12435,Dibrugarh Town - New...,1,NR,6,1,0,0,1,0,0,0,LKO,6:10,NDLS,6:13,2:24,0:03
12235,Dibrugarh - New Delh...,1,NR,6,0,0,0,0,0,0,1,LKO,6:10,NDLS,6:13,2:24,0:03
13238,Kota - Patna Expres...,3,ECR,4,0,1,0,0,0,1,1,LKO,6:20,PNBE,6:30,3:27,0:10
14650,Saryu Yamuna Express,3,NR,4,1,0,1,0,1,0,0,LKO,6:20,JYG,6:30,0:27,0:10
13240,Kota - Patna Express...,3,ECR,4,1,0,1,1,1,0,0,LKO,6:20,PNBE,6:30,0:32,0:10
22355,Patliputra - Chandi...,2,ECR,4,0,1,0,0,1,0,0,LKO,6:25,CDG,6:30,0:27,0:05
14307,Prayag - Bareilly Ex...,3,NR,7,1,1,1,1,1,1,1,LKO,6:40,BE,6:50,1:00,0:10
14674,Shaheed Express,3,NR,3,0,1,0,1,0,1,1,LKO,6:40,JYG,6:50,0:01,0:10
14204,Lucknow - Varanasi I...*,3,NR,9,1,1,1,1,1,1,1,LKO,7:00,BSB,7:10,2:31,0:10
14235,Varanasi - Bareilly ...,3,NR,6,1,1,1,1,1,1,1,LKO,7:05,BE,7:15,1:19,0:10
64203,Lucknow - Kanpur MEM...*,4,NR,6,1,1,1,1,1,1,1,LKO,7:20,CNB,7:23,3:49,0:03
12238,Begampura Express (P...,2,NR,6,1,1,1,1,1,1,1,LKO,7:20,BSB,7:25,3:50,0:05
14210,Lucknow - Prayag Int...*,3,NR,8,1,1,1,1,1,1,1,LKO,7:30,PRG,7:40,3:52,0:10
12327,Upasana Express (PT),2,ER,5,0,0,0,1,0,0,1,LKO,7:30,DDN,7:35,2:16,0:05
12369,Kumbha Express (PT),2,ER,5,1,1,1,0,1,1,0,LKO,7:30,HW,7:35,0:00,0:05
64235,Barabanki - Kanpur C...,4,NR,4,0,1,1,1,1,1,1,LKO,7:35,CNB,7:38,1:44,0:03
13414,Farakka Express (via...,3,ER,4,1,0,1,0,1,0,0,LKO,7:45,MLDT,7:55,2:48,0:10
13484,Farakka Express (via...,3,ER,4,0,1,0,1,0,1,1,LKO,7:45,MLDT,7:55,0:25,0:10
14266,Dehradun - Varanasi ...,3,NR,3,1,1,1,1,1,1,1,LKO,7:55,BSB,8:05,1:25,0:10
14123,Pratapgarh - Kanpur ...,3,NCR,4,1,1,1,1,1,1,1,LKO,8:05,CNB,8:15,0:32,0:10
15934,Amritsar - Dibrugarh...,3,NFR,3,0,0,0,0,0,0,1,LKO,8:10,DBRG,8:20,0:30,0:10
54377,Prayag-Bareilly Pass...,5,NR,5,1,1,1,1,1,1,1,LKO,8:20,BE,8:35,3:26,0:15
12328,Upasana Express (PT),2,ER,2,1,0,0,0,1,0,0,LKO,8:30,HWH,8:35,3:26,0:05
12370,Kumbha Express (PT),2,ER,5,0,1,1,1,0,1,1,LKO,8:30,HWH,8:35,2:41,0:05
14221,Faizabad - Kanpur An...,3,NR,1,1,1,1,1,1,1,1,LKO,8:30,CPA,8:40,2:03,0:10
14371,Triveni Link Express,3,NR,6,1,1,1,1,1,1,1,LKO,8:45,BE,8:55,3:23,0:10
