No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
12595,Gorakhpur - Anand Vi...*,2,NER,9,0,0,1,0,1,0,0,GKP,20:00,ANVT,20:05,2:07,0:05
18201,Durg - Nautanwa Expr...,3,SECR,6,0,0,0,0,1,0,1,GKP,20:10,NTV,20:20,0:41,0:10
18205,Durg - Nautanwa Expr...,3,SECR,6,0,0,0,0,0,1,0,GKP,20:10,NTV,20:20,1:13,0:10
15209,Saharsa - Amritsar J...,3,ECR,4,1,1,1,1,1,1,1,GKP,20:20,ASR,20:30,3:20,0:10
4405,Darbhanga - Delhi A...,3,NR,2,0,0,1,0,0,1,0,GKP,20:40,DLI,20:50,0:18,0:10
15705,Champaran Humsafar E...,2,NFR,2,0,1,0,0,1,0,0,GKP,20:45,DLI,20:50,2:58,0:05
15654,Jammu Tawi - Guwahat...,3,NFR,5,0,0,0,0,0,0,1,GKP,20:55,GHY,21:05,1:28,0:10
15098,Jammu Tawi - Bhagalp...,3,NER,5,0,0,0,1,0,0,0,GKP,20:55,BGP,21:05,3:32,0:10
15270,Ahmedabad - Muzaffar...,3,ECR,5,0,1,0,0,0,0,0,GKP,20:55,MFP,21:05,1:21,0:10
15652,Lohit Express (PT),3,NFR,5,0,0,0,0,1,0,0,GKP,20:55,GHY,21:05,2:56,0:10
13508,Gorakhpur - Asansol ...*,3,ER,3,0,0,0,0,0,0,1,GKP,20:55,ASN,21:05,0:08,0:10
19709,Jaipur - Kamakhya Ka...,3,NWR,5,0,0,1,0,0,0,0,GKP,20:55,KYQ,21:05,2:47,0:10
15057,Gorakhpur - Anand Vi...*,3,NER,3,0,0,0,0,1,0,0,GKP,20:55,ANVT,21:05,2:51,0:10
12529,Patliputra - Lucknow...,2,NER,2,0,1,1,1,0,1,1,GKP,20:55,LJN,21:00,3:16,0:05
15001,Rapti Ganga Express,3,NER,1,0,1,0,0,0,0,0,GKP,21:15,DDN,21:25,1:18,0:10
15005,Rapti Ganga Express*,3,NER,1,0,0,0,1,0,1,0,GKP,21:15,DDN,21:25,2:47,0:10
5115,Chhapra - Anand Viha...,3,NER,2,0,0,1,0,0,0,0,GKP,21:15,ANVT,21:25,1:48,0:10
9016,Gorakhpur - Mumbai B...*,3,WR,2,1,0,0,0,0,0,0,GKP,21:20,BDTS,21:30,3:55,0:10
82910,Gorakhpur - Bandra T...*,2,WR,2,1,0,0,0,0,0,0,GKP,21:20,BDTS,21:25,2:48,0:05
1118,Gorakhpur - Mumbai L...*,3,CR,2,0,0,0,0,1,0,0,GKP,21:45,LTT,21:55,3:12,0:10
12541,Gorakhpur - Mumbai L...*,2,NER,9,1,1,1,1,1,1,1,GKP,21:50,LTT,21:55,1:39,0:05
15009,Gorakhpur - GomtiNag...*,3,NER,8,1,1,1,1,1,1,1,GKP,22:00,GTNR,22:10,1:41,0:10
15279,Poorabiya Express (P...,3,ECR,1,1,0,0,0,1,0,0,GKP,22:10,ANVT,22:20,1:06,0:10
12523,New Jalpaiguri - New...,2,NFR,1,0,0,1,0,0,0,1,GKP,22:10,NDLS,22:15,1:45,0:05
12407,New Jalpaiguri - Amr...,2,NR,1,0,0,0,1,0,0,0,GKP,22:10,ASR,22:15,1:52,0:05
19602,New Jalpaiguri - Uda...,3,NWR,1,0,1,0,0,0,0,0,GKP,22:10,UDZ,22:20,3:43,0:10
4923,Gorakhpur - Chandiga...*,3,NR,2,0,0,0,0,0,1,0,GKP,22:10,CDG,22:20,2:13,0:10
15204,Lucknow Jn - Barauni...,3,ECR,5,1,1,1,1,1,1,1,GKP,22:15,BJU,22:25,1:51,0:10
5718,Jalandhar City - Kat...,3,NFR,2,0,0,0,0,0,0,1,GKP,22:25,KIR,22:35,0:53,0:10
19270,Muzaffarpur - Porban...,3,WR,4,1,1,0,0,0,0,0,GKP,22:40,PBR,22:50,2:21,0:10
12211,Muzaffarpur - Anand ...,2,NR,4,0,0,0,0,0,1,0,GKP,22:40,ANVT,22:45,3:36,0:05
5717,Katihar - Jalandhar ...,3,NFR,5,0,0,0,0,1,0,0,GKP,22:40,JUC,22:50,2:12,0:10
15004,Chauri Chaura Expres...*,3,NER,3,1,1,1,1,1,1,1,GKP,22:45,CPA,22:55,1:29,0:10
55074,Gorakhpur - Narkatia...*,5,NER,2,1,1,1,1,1,1,1,GKP,23:00,NKE,23:15,3:19,0:15
15007,Krishak Express,3,NER,1,1,1,1,1,1,1,1,GKP,23:05,LJN,23:15,1:22,0:10
55149,Gorakhpur - Varanasi...*,5,NER,6,1,1,1,1,1,1,1,GKP,23:20,BCY,23:35,1:11,0:15
2411,Arunachal AC SF Spec...,2,NR,2,1,0,0,0,0,0,0,GKP,23:20,ANVT,23:25,2:06,0:05
22411,Naharlagun - New Del...,2,NR,3,0,0,0,1,0,0,0,GKP,23:20,NDLS,23:25,1:05,0:05
15910,Avadh Assam Express ...,3,NFR,5,1,1,1,1,1,1,1,GKP,23:45,DBRG,23:55,3:41,0:10
15909,Avadh Assam Express ...,3,NFR,2,1,1,1,1,1,1,1,GKP,23:55,LGH,0:05,2:50,0:10
