No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,stoppage
21107,Bundelkhand Link Exp...,3,NCR,9,0,1,0,1,0,0,1,ALD,6:50,KURJ,6:58,2:11,0:08
14116,Haridwar - Allahabad...*,3,NCR,10,0,0,1,0,1,0,1,ALD,7:05,HW,7:13,2:57,0:08
12802,Purushottam SF Expre...,2,ECoR,4,1,1,1,1,1,1,1,ALD,7:05,NDLS,7:10,2:16,0:05
15267,Raxaul - Mumbai LTT ...,3,ECR,9,1,0,0,0,0,0,0,ALD,7:15,RXL,7:23,1:58,0:08
22132,Manduadih - Pune Gya...,2,CR,9,0,0,0,1,0,0,0,ALD,7:15,MUV,7:20,0:33,0:05
11034,Darbhanga - Pune Gya...,3,CR,9,0,0,0,0,0,0,1,ALD,7:15,DBG,7:23,1:28,0:08
15559,Darbhanga - Ahmedaba...,3,ECR,9,0,0,0,0,1,0,0,ALD,7:15,DBG,7:23,3:48,0:08
12323,Howrah - Anand Vihar...,2,ER,2,0,0,0,1,0,0,1,ALD,7:45,HWH,7:50,2:41,0:05
12815,Nandan Kanan Express...,2,ECoR,2,1,0,1,0,1,1,0,ALD,7:45,PURI,7:50,3:01,0:05
12582,New Delhi - Manduadi...,2,NER,7,1,1,1,1,1,1,1,ALD,7:45,NDLS,7:50,2:48,0:05
1456,Manduadih - Pune Jan...,3,CR,2,0,0,0,0,0,0,1,ALD,7:45,MUV,7:53,0:41,0:08
14114,Link Express (Sangam...*,3,NCR,1,1,1,1,1,1,1,1,ALD,8:10,DDN,8:18,3:44,0:08
14164,Sangam Express*,3,NCR,1,1,1,1,1,1,1,1,ALD,8:10,MTC,8:18,2:46,0:08
14056,Brahmaputra Mail (PT...,3,NR,4,1,1,1,1,1,1,1,ALD,8:25,DLI,8:33,3:00,0:08
15017,Kashi Express (PT),3,NER,9,1,1,1,1,1,1,1,ALD,8:25,LTT,8:33,3:44,0:08
11039,SCSMT Kolhapur - Gor...,3,CR,9,1,1,1,1,1,1,1,ALD,8:25,KOP,8:33,2:21,0:08
14126,Saryu Express (UnRes...*,3,NCR,9,1,1,1,1,1,1,1,ALD,8:40,MUR,8:48,1:08,0:08
15004,Chauri Chaura Expres...,3,NER,8,1,1,1,1,1,1,1,ALD,8:40,GKP,8:48,0:06,0:08
15483,Sikkim Mahananda Exp...,3,NFR,3,1,1,1,1,1,1,1,ALD,8:40,APDJ,8:48,0:54,0:08
12350,New Delhi - Bhagalpu...,2,ER,4,0,0,0,1,0,0,0,ALD,8:45,NDLS,8:50,1:37,0:05
12502,Poorvottar Sampark K...,2,NFR,4,0,1,0,0,1,0,0,ALD,8:45,NDLS,8:50,0:03,0:05
15602,Poorvottar Sampark K...,2,NFR,2,0,0,0,0,0,1,0,ALD,8:45,NDLS,8:50,0:40,0:05
14020,Tripura Sundari Expr...,3,NR,6,0,0,1,0,0,0,0,ALD,8:45,ANVT,8:53,3:23,0:08
22129,Tulsi Express (PT)*,2,CR,8,0,1,0,1,0,0,0,ALD,8:50,LTT,8:55,3:23,0:05
18309,Sambalpur- Jammu Taw...,3,ECoR,3,1,1,1,1,1,1,1,ALD,8:55,SBP,9:03,2:21,0:08
12311,Kalka Mail (PT),2,ER,1,1,1,1,1,1,1,1,ALD,9:00,HWH,9:05,1:53,0:05
22428,Bhrigu SF Express,2,NR,6,1,0,0,0,0,0,0,ALD,9:00,ANVT,9:05,3:26,0:05
1117,Mumbai LTT ? Gorakhp...,3,CR,2,0,0,0,1,0,0,0,ALD,9:00,LTT,9:08,1:06,0:08
63237,Mughalsarai - Allaha...*,4,ECR,2,1,1,1,1,1,1,1,ALD,9:10,MGS,9:12,0:30,0:02
18101,Tatanagar-Jammu Tawi...,3,SER,3,1,1,1,1,1,1,1,ALD,9:20,TATA,9:28,3:29,0:08
1056,Varanasi - Mumbai LT...,3,CR,2,0,0,0,0,1,0,0,ALD,9:30,BSB,9:38,3:29,0:08
1098,Varanasi - Mumbai LT...,3,CR,2,0,0,0,0,1,0,0,ALD,9:30,BSB,9:38,1:42,0:08
12505,North East Express (...,2,NFR,3,1,1,1,1,1,1,1,ALD,9:35,GHY,9:40,2:04,0:05
22442,Kanpur - Chitrakutdh...,2,NCR,2,1,1,1,1,1,1,1,ALD,9:40,CNB,9:45,2:27,0:05
11055,Godan Express (PT),3,CR,9,0,1,1,0,1,0,1,ALD,9:50,LTT,9:58,1:16,0:08
11059,Godan Express (PT),3,CR,8,1,0,0,1,0,1,0,ALD,9:50,LTT,9:58,2:34,0:08
1088,Manduadih - Mumbai L...,2,CR,8,0,0,0,0,1,0,0,ALD,9:50,MUV,9:55,2:03,0:05
24512,Nauchandi Link Expre...*,3,NR,10,1,1,1,1,1,1,1,ALD,9:55,BSC,10:03,0:12,0:08
14512,Nauchandi Express*,3,NR,10,1,1,1,1,1,1,1,ALD,9:55,SRE,10:03,1:51,0:08
18632,Ajmer - Ranchi Garib...,3,SER,6,1,0,0,0,0,0,0,ALD,10:05,AII,10:13,0:21,0:08
54108,Jaunpur Jn - Allahab...*,5,NCR,10,1,1,1,1,1,1,1,ALD,10:10,JNU,10:25,1:36,0:15
18205,Durg - Nautanwa Expr...,3,SECR,7,0,0,0,0,0,1,0,ALD,10:25,DURG,10:33,0:20,0:08
11061,Pawan Express (PT),3,CR,9,1,1,1,1,1,1,1,ALD,10:45,LTT,10:53,3:37,0:08
12791,Secunderabad - Danap...,2,SCR,8,1,1,1,1,1,1,1,ALD,11:00,SC,11:05,0:52,0:05
22805,Bhubaneswar - Anand ...,2,ECoR,2,1,0,0,0,0,0,0,ALD,11:07,BBS,11:12,0:11,0:05
12496,Pratap Express (PT),2,NWR,1,0,0,0,0,0,0,1,ALD,11:30,KOAA,11:35,3:12,0:05
12938,Garba SF Express (PT...,2,WR,1,0,0,1,0,0,0,0,ALD,11:30,HWH,11:35,0:01,0:05
15632,Guwahati - Barmer Ex...,3,NFR,1,1,0,0,0,0,1,0,ALD,11:30,GHY,11:38,3:38,0:08
15632,Guwahati - Bikaner L...,3,NFR,1,1,0,0,0,0,1,0,ALD,11:30,GHY,11:38,2:21,0:08
22103,Mumbai LTT - Faizaba...,2,CR,10,0,0,1,0,0,0,0,ALD,11:40,LTT,11:45,0:03,0:05
18609,Ranchi - Mumbai LTT ...,3,SER,7,0,0,0,0,1,0,0,ALD,11:50,RNC,11:58,3:26,0:08
12487,Seemanchal Express,2,NR,2,1,1,1,1,1,1,1,ALD,11:50,JBN,11:55,1:58,0:05
15117,Manduadih - Jabalpur...,3,NER,9,0,0,0,0,0,0,1,ALD,11:50,MUV,11:58,3:17,0:08
22487,Seemanchal Link Expr...,2,NR,2,1,1,1,1,1,1,1,ALD,11:50,RDP,11:55,1:42,0:05
12987,Sealdah - Ajmer SF E...,2,NWR,3,1,1,1,1,1,1,1,ALD,12:00,SDAH,12:05,1:33,0:05
11054,Azamgarh - Mumbai LT...,3,CR,7,0,0,0,0,0,1,0,ALD,12:00,AMH,12:08,1:44,0:08
15160,Sarnath Express (PT),3,NER,9,1,1,1,1,1,1,1,ALD,12:15,DURG,12:23,1:40,0:08
12307,Howrah - Jodhpur SF ...,2,ER,1,1,1,1,1,1,1,1,ALD,12:25,HWH,12:30,1:51,0:05
12307,Howrah - Bikaner SF ...,2,ER,1,1,1,1,1,1,1,1,ALD,12:25,HWH,12:30,0:04,0:05
12293,Mumbai LTT - Allahab...*,1,CR,9,0,0,1,0,0,0,1,ALD,12:35,LTT,12:38,0:15,0:03
18631,Ranchi - Ajmer Garib...,3,SER,3,0,0,0,0,0,1,0,ALD,12:45,RNC,12:53,0:04,0:08
4116,Mumbai LTT - Allahab...*,2,NCR,10,0,1,0,0,0,0,0,ALD,12:45,LTT,12:50,0:11,0:05
22683,Yesvantpur - Lucknow...,2,SWR,10,0,0,0,1,0,0,0,ALD,12:45,YPR,12:50,1:35,0:05
53345,Chopan - Allahabad P...*,5,ECR,2,1,1,1,1,1,1,1,ALD,12:55,CPU,13:10,3:00,0:15
12308,Jodhpur - Howrah SF ...,2,ER,6,1,1,1,1,1,1,1,ALD,14:00,JU,14:05,0:00,0:05
22308,Bikaner - Howrah Lin...,2,ER,2,1,1,1,1,1,1,1,ALD,14:00,BKN,14:05,3:20,0:05
22432,Udhampur - Allahabad...*,2,NCR,1,0,1,0,0,1,0,0,ALD,14:55,UHP,15:00,1:30,0:05
12816,Nandan Kanan Express,2,ECoR,6,0,1,0,1,1,0,1,ALD,15:05,NDLS,15:10,1:04,0:05
15159,Sarnath Express,3,NER,9,1,1,1,1,1,1,1,ALD,15:15,CPR,15:23,1:31,0:08
18310,Jammu Tawi - Sambalp...,3,ECoR,6,1,1,1,1,1,1,1,ALD,15:22,JAT,15:30,1:00,0:08
